[epoch: 795, batch:  1912] loss: 7.318, sam-loss: 0.001, bandMse: 1.771, val-RMSE: 41.667, val-SAM: 2.171, val-PSNR: 37.579, AVG-Time: 4.515, LR: 0.000300
[epoch: 796, batch:  1912] loss: 7.600, sam-loss: 0.000, bandMse: 2.311, val-RMSE: 40.485, val-SAM: 2.081, val-PSNR: 37.681, AVG-Time: 4.509, LR: 0.000300
[epoch: 797, batch:  1912] loss: 7.279, sam-loss: 0.000, bandMse: 2.804, val-RMSE: 63.794, val-SAM: 3.053, val-PSNR: 35.431, AVG-Time: 4.614, LR: 0.000300
[epoch: 798, batch:  1912] loss: 7.309, sam-loss: 0.000, bandMse: 2.031, val-RMSE: 57.976, val-SAM: 2.321, val-PSNR: 36.272, AVG-Time: 4.804, LR: 0.000300
[epoch: 799, batch:  1912] loss: 26.583, sam-loss: 0.002, bandMse: 9.162, val-RMSE: 176.528, val-SAM: 7.640, val-PSNR: 25.095, AVG-Time: 7.570, LR: 0.000300
[epoch: 800, batch:  1912] loss: 17.042, sam-loss: 0.003, bandMse: 3.352, val-RMSE: 131.952, val-SAM: 5.191, val-PSNR: 29.120, AVG-Time: 11.913, LR: 0.000300
[epoch: 801, batch:  1912] loss: 13.383, sam-loss: 0.000, bandMse: 4.990, val-RMSE: 89.302, val-SAM: 4.127, val-PSNR: 32.858, AVG-Time: 5.162, LR: 0.000300
[epoch: 802, batch:  1912] loss: 10.904, sam-loss: 0.001, bandMse: 2.952, val-RMSE: 86.491, val-SAM: 3.962, val-PSNR: 33.197, AVG-Time: 5.384, LR: 0.000300
[epoch: 803, batch:  1912] loss: 9.377, sam-loss: 0.001, bandMse: 2.896, val-RMSE: 72.082, val-SAM: 3.232, val-PSNR: 34.564, AVG-Time: 5.941, LR: 0.000300
[epoch: 804, batch:  1912] loss: 8.247, sam-loss: 0.001, bandMse: 3.859, val-RMSE: 92.227, val-SAM: 3.315, val-PSNR: 33.549, AVG-Time: 4.986, LR: 0.000300
[epoch: 805, batch:  1912] loss: 7.939, sam-loss: 0.000, bandMse: 1.735, val-RMSE: 49.467, val-SAM: 2.472, val-PSNR: 37.013, AVG-Time: 4.619, LR: 0.000300
[epoch: 806, batch:  1912] loss: 8.275, sam-loss: 0.001, bandMse: 1.744, val-RMSE: 73.272, val-SAM: 3.106, val-PSNR: 34.596, AVG-Time: 5.531, LR: 0.000300
[epoch: 807, batch:  1912] loss: 7.448, sam-loss: 0.001, bandMse: 1.943, val-RMSE: 50.855, val-SAM: 2.519, val-PSNR: 37.224, AVG-Time: 4.564, LR: 0.000300
[epoch: 808, batch:  1912] loss: 7.069, sam-loss: 0.000, bandMse: 2.056, val-RMSE: 52.597, val-SAM: 2.638, val-PSNR: 36.772, AVG-Time: 4.569, LR: 0.000300
[epoch: 809, batch:  1912] loss: 7.121, sam-loss: 0.000, bandMse: 3.046, val-RMSE: 48.474, val-SAM: 2.526, val-PSNR: 37.207, AVG-Time: 4.506, LR: 0.000300
[epoch: 810, batch:  1912] loss: 6.770, sam-loss: 0.000, bandMse: 2.354, val-RMSE: 46.357, val-SAM: 2.237, val-PSNR: 37.771, AVG-Time: 4.517, LR: 0.000300
[epoch: 811, batch:  1912] loss: 6.889, sam-loss: 0.000, bandMse: 2.574, val-RMSE: 47.556, val-SAM: 2.410, val-PSNR: 37.447, AVG-Time: 4.641, LR: 0.000300
[epoch: 812, batch:  1912] loss: 6.470, sam-loss: 0.000, bandMse: 2.562, val-RMSE: 51.783, val-SAM: 2.493, val-PSNR: 36.686, AVG-Time: 4.538, LR: 0.000300
[epoch: 813, batch:  1912] loss: 6.981, sam-loss: 0.001, bandMse: 2.618, val-RMSE: 63.212, val-SAM: 2.897, val-PSNR: 35.033, AVG-Time: 4.477, LR: 0.000300
[epoch: 814, batch:  1912] loss: 6.180, sam-loss: 0.000, bandMse: 2.295, val-RMSE: 45.478, val-SAM: 2.191, val-PSNR: 37.547, AVG-Time: 4.541, LR: 0.000300
[epoch: 815, batch:  1912] loss: 6.478, sam-loss: 0.000, bandMse: 2.816, val-RMSE: 51.708, val-SAM: 2.449, val-PSNR: 35.922, AVG-Time: 4.641, LR: 0.000300
[epoch: 816, batch:  1912] loss: 6.601, sam-loss: 0.000, bandMse: 3.047, val-RMSE: 67.096, val-SAM: 2.699, val-PSNR: 35.534, AVG-Time: 6.619, LR: 0.000300
[epoch: 817, batch:  1912] loss: 6.265, sam-loss: 0.000, bandMse: 2.214, val-RMSE: 45.835, val-SAM: 2.289, val-PSNR: 36.926, AVG-Time: 7.074, LR: 0.000300
[epoch: 818, batch:  1912] loss: 6.035, sam-loss: 0.000, bandMse: 3.654, val-RMSE: 39.514, val-SAM: 1.988, val-PSNR: 38.641, AVG-Time: 5.785, LR: 0.000300
[epoch: 819, batch:  1912] loss: 6.257, sam-loss: 0.000, bandMse: 2.372, val-RMSE: 59.273, val-SAM: 2.378, val-PSNR: 35.494, AVG-Time: 4.585, LR: 0.000300
[epoch: 820, batch:  1912] loss: 6.408, sam-loss: 0.000, bandMse: 3.026, val-RMSE: 42.416, val-SAM: 2.126, val-PSNR: 37.624, AVG-Time: 4.512, LR: 0.000300
[epoch: 821, batch:  1912] loss: 5.851, sam-loss: 0.000, bandMse: 1.878, val-RMSE: 36.318, val-SAM: 1.900, val-PSNR: 38.442, AVG-Time: 4.474, LR: 0.000300
[epoch: 822, batch:  1912] loss: 6.461, sam-loss: 0.000, bandMse: 2.443, val-RMSE: 54.589, val-SAM: 2.515, val-PSNR: 35.775, AVG-Time: 4.549, LR: 0.000300
[epoch: 823, batch:  1912] loss: 5.893, sam-loss: 0.000, bandMse: 1.588, val-RMSE: 44.202, val-SAM: 2.080, val-PSNR: 38.267, AVG-Time: 4.495, LR: 0.000300
[epoch: 824, batch:  1912] loss: 5.923, sam-loss: 0.000, bandMse: 1.312, val-RMSE: 40.796, val-SAM: 1.972, val-PSNR: 38.080, AVG-Time: 4.506, LR: 0.000300
[epoch: 825, batch:  1912] loss: 6.035, sam-loss: 0.000, bandMse: 2.417, val-RMSE: 32.116, val-SAM: 1.653, val-PSNR: 39.736, AVG-Time: 7.084, LR: 0.000300
[epoch: 826, batch:  1912] loss: 5.876, sam-loss: 0.000, bandMse: 2.794, val-RMSE: 50.852, val-SAM: 2.417, val-PSNR: 36.301, AVG-Time: 11.311, LR: 0.000300
[epoch: 827, batch:  1912] loss: 5.982, sam-loss: 0.000, bandMse: 1.602, val-RMSE: 40.926, val-SAM: 2.056, val-PSNR: 37.979, AVG-Time: 5.177, LR: 0.000300
[epoch: 828, batch:  1912] loss: 5.733, sam-loss: 0.000, bandMse: 2.335, val-RMSE: 41.458, val-SAM: 1.883, val-PSNR: 37.922, AVG-Time: 5.001, LR: 0.000300
[epoch: 829, batch:  1912] loss: 5.718, sam-loss: 0.000, bandMse: 2.646, val-RMSE: 41.550, val-SAM: 2.102, val-PSNR: 37.324, AVG-Time: 5.204, LR: 0.000300
[epoch: 830, batch:  1912] loss: 5.923, sam-loss: 0.000, bandMse: 2.277, val-RMSE: 51.825, val-SAM: 2.447, val-PSNR: 37.282, AVG-Time: 8.850, LR: 0.000300
[epoch: 831, batch:  1912] loss: 5.837, sam-loss: 0.000, bandMse: 2.310, val-RMSE: 35.061, val-SAM: 1.899, val-PSNR: 39.076, AVG-Time: 5.112, LR: 0.000300
[epoch: 832, batch:  1912] loss: 5.607, sam-loss: 0.000, bandMse: 1.437, val-RMSE: 41.175, val-SAM: 1.984, val-PSNR: 38.345, AVG-Time: 4.623, LR: 0.000300
[epoch: 833, batch:  1912] loss: 5.624, sam-loss: 0.000, bandMse: 1.682, val-RMSE: 40.616, val-SAM: 1.876, val-PSNR: 38.566, AVG-Time: 4.535, LR: 0.000300
[epoch: 834, batch:  1912] loss: 5.806, sam-loss: 0.000, bandMse: 1.560, val-RMSE: 45.361, val-SAM: 2.026, val-PSNR: 37.511, AVG-Time: 4.557, LR: 0.000300
[epoch: 835, batch:  1912] loss: 5.619, sam-loss: 0.000, bandMse: 2.977, val-RMSE: 43.103, val-SAM: 2.169, val-PSNR: 37.419, AVG-Time: 4.588, LR: 0.000300
[epoch: 836, batch:  1912] loss: 5.549, sam-loss: 0.000, bandMse: 2.891, val-RMSE: 34.789, val-SAM: 1.777, val-PSNR: 39.429, AVG-Time: 4.493, LR: 0.000300
[epoch: 837, batch:  1912] loss: 5.763, sam-loss: 0.000, bandMse: 1.892, val-RMSE: 51.181, val-SAM: 2.114, val-PSNR: 37.645, AVG-Time: 4.578, LR: 0.000300
[epoch: 838, batch:  1912] loss: 18.203, sam-loss: 0.001, bandMse: 2.816, val-RMSE: 76.131, val-SAM: 3.430, val-PSNR: 33.355, AVG-Time: 4.546, LR: 0.000300
[epoch: 839, batch:  1912] loss: 7.699, sam-loss: 0.000, bandMse: 1.854, val-RMSE: 59.322, val-SAM: 2.910, val-PSNR: 34.521, AVG-Time: 4.512, LR: 0.000300
[epoch: 840, batch:  1912] loss: 6.548, sam-loss: 0.000, bandMse: 1.529, val-RMSE: 37.878, val-SAM: 1.876, val-PSNR: 38.635, AVG-Time: 5.220, LR: 0.000300
[epoch: 841, batch:  1912] loss: 6.217, sam-loss: 0.000, bandMse: 3.007, val-RMSE: 67.243, val-SAM: 3.047, val-PSNR: 33.063, AVG-Time: 5.131, LR: 0.000300
[epoch: 842, batch:  1912] loss: 5.842, sam-loss: 0.001, bandMse: 1.198, val-RMSE: 40.651, val-SAM: 1.985, val-PSNR: 38.061, AVG-Time: 5.123, LR: 0.000300
[epoch: 843, batch:  1912] loss: 5.871, sam-loss: 0.000, bandMse: 3.131, val-RMSE: 52.047, val-SAM: 2.325, val-PSNR: 36.142, AVG-Time: 5.151, LR: 0.000300
[epoch: 844, batch:  1912] loss: 5.509, sam-loss: 0.000, bandMse: 3.019, val-RMSE: 49.036, val-SAM: 2.262, val-PSNR: 36.935, AVG-Time: 5.115, LR: 0.000300
[epoch: 845, batch:  1912] loss: 5.438, sam-loss: 0.000, bandMse: 2.108, val-RMSE: 38.531, val-SAM: 1.889, val-PSNR: 37.944, AVG-Time: 5.186, LR: 0.000300
[epoch: 846, batch:  1912] loss: 6.102, sam-loss: 0.001, bandMse: 1.232, val-RMSE: 37.499, val-SAM: 1.907, val-PSNR: 38.798, AVG-Time: 5.113, LR: 0.000300
[epoch: 847, batch:  1912] loss: 5.292, sam-loss: 0.000, bandMse: 2.162, val-RMSE: 38.777, val-SAM: 1.835, val-PSNR: 38.719, AVG-Time: 5.968, LR: 0.000300
[epoch: 848, batch:  1912] loss: 5.709, sam-loss: 0.000, bandMse: 1.603, val-RMSE: 43.088, val-SAM: 2.117, val-PSNR: 37.523, AVG-Time: 5.258, LR: 0.000300
[epoch: 849, batch:  1912] loss: 5.239, sam-loss: 0.000, bandMse: 1.282, val-RMSE: 35.111, val-SAM: 1.830, val-PSNR: 39.433, AVG-Time: 5.136, LR: 0.000300
[epoch: 850, batch:  1912] loss: 5.328, sam-loss: 0.000, bandMse: 2.148, val-RMSE: 32.834, val-SAM: 1.669, val-PSNR: 39.648, AVG-Time: 5.018, LR: 0.000300
[epoch: 851, batch:  1912] loss: 5.269, sam-loss: 0.000, bandMse: 2.039, val-RMSE: 46.119, val-SAM: 2.165, val-PSNR: 37.889, AVG-Time: 4.767, LR: 0.000300
[epoch: 852, batch:  1912] loss: 5.239, sam-loss: 0.000, bandMse: 1.885, val-RMSE: 30.824, val-SAM: 1.556, val-PSNR: 39.983, AVG-Time: 4.916, LR: 0.000300
[epoch: 853, batch:  1912] loss: 5.137, sam-loss: 0.000, bandMse: 2.144, val-RMSE: 34.165, val-SAM: 1.706, val-PSNR: 39.788, AVG-Time: 4.980, LR: 0.000300
[epoch: 854, batch:  1912] loss: 5.528, sam-loss: 0.000, bandMse: 1.793, val-RMSE: 36.633, val-SAM: 1.769, val-PSNR: 39.206, AVG-Time: 4.720, LR: 0.000300
[epoch: 855, batch:  1912] loss: 5.637, sam-loss: 0.000, bandMse: 1.794, val-RMSE: 36.024, val-SAM: 1.813, val-PSNR: 39.109, AVG-Time: 4.970, LR: 0.000300
[epoch: 856, batch:  1912] loss: 5.119, sam-loss: 0.000, bandMse: 1.834, val-RMSE: 41.627, val-SAM: 1.878, val-PSNR: 38.722, AVG-Time: 5.006, LR: 0.000300
[epoch: 857, batch:  1912] loss: 5.221, sam-loss: 0.000, bandMse: 1.784, val-RMSE: 37.807, val-SAM: 1.723, val-PSNR: 39.335, AVG-Time: 4.935, LR: 0.000300
[epoch: 858, batch:  1912] loss: 4.898, sam-loss: 0.000, bandMse: 1.747, val-RMSE: 68.755, val-SAM: 2.775, val-PSNR: 35.742, AVG-Time: 5.268, LR: 0.000300
[epoch: 859, batch:  1912] loss: 5.153, sam-loss: 0.000, bandMse: 1.988, val-RMSE: 38.138, val-SAM: 1.906, val-PSNR: 38.684, AVG-Time: 4.596, LR: 0.000300
[epoch: 860, batch:  1912] loss: 4.989, sam-loss: 0.000, bandMse: 2.614, val-RMSE: 34.678, val-SAM: 1.632, val-PSNR: 39.580, AVG-Time: 4.660, LR: 0.000300
